,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1500,265.21,7.28,"[118, 0.602]",15.29104733,259.58,15.64,"[319, 0.638]",1.171441555,251.81,10.66,"[178, 0.517]",12.09913731,215.28,7.95,"[150, 0.603]",12.34141755,237.52,0.4,"[4, 0.041, 197]",20.61033535
3000,249.89,6.09,"[193, 0.675]",23.29905176,258.49,14.88,"[768, 0.512]",3.099532843,244.26,5.18,"[166, 0.542]",24.39322138,218.12,4.53,"[160, 0.656]",24.33583426,233.95,0.28,"[9, 0.088, 238]",38.57439923
1300,428.25,16.35,"[72, 1.0]",33.88557053,428.28,41.58,"[474, 0.729]",1.675356388,422.07,14.44,"[84, 0.778]",35.42918992,311.75,18.31,"[96, 0.867]",34.52606845,413.99,5.87,"[41, 0.717, 92]",29.95220995
4000,473.64,18.62,"[269, 1.0]",97.17926264,435.08,29.6,"[523, 0.916]",3.474847317,418.2,18.37,"[316, 0.726]",102.9736891,298.87,19.29,"[311, 0.831]",106.0641413,408.58,6.09,"[123, 0.668, 316]",73.62527585
1200,616,14,,18,562,23.96,"[253, 0.843]",1.260242701,574.06,11.6,"[101, 0.591]",20.25486135,382.57,19.77,"[212, 0.76]",21.75231433,,,,56.23096776
1350,648,13,,18.72,573.5,23.54,"[327, 0.755]",1.512697458,546.53,15.21,"[169, 0.645]",18.39082956,370.72,18.16,"[225, 0.782]",21.6389935,,,,63.46386123
1600,536.98,17.02,,48.94,516.21,46.95,"[987, 0.617]",3.767794847,519.25,18.68,"[151, 0.699]",47.04888988,360.69,20.87,"[164, 0.816]",50.56763577,,,,905.7777529
2600,546.88,11.95,,93.07,576.05,42.15,"[731, 0.844]",4.879647255,535.52,10.52,"[150, 0.732]",92.11764503,405.9,12.68,"[172, 0.852]",94.18465686,,,,1214.510962
,,,,34.39582204,,,,2.032353044,,,,35.59015477,,,,36.77646157,,,,47.0761749
